lam,t1,t1min,t2,t2min
1.06, 78, 50, 65, 20
1.29, 72, 50, 61, 15
1.45, 75, 30, 68, 30
1.72, 76, 10, 66, 5
1.96, 69, 55, 61, 15
2.156, 69, 10, 60, 30
2.34, 52, 0, 39, 50
2.510, 27, 13, 12, 35
2.65, 67, 59, 54, 30
