lam,t1,t1min,t2,t2min
1.06, 89, 5, 65, 30
1.29, 81, 2, 66, 40
1.45, 78, 26, 68, 20
1.72, 78, 53, 68, 20
1.96, 72, 55, 65, 30
2.156, 69, 10, 64, 30
2.34, 49, 29, 44, 14
2.510, 33, 35, 29, 58
2.65, 65, 6, 60, 45
